company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
canada goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
canada goose inc.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
capranea sports ag,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capri holdings limited,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
capri holdings ltd.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
carhartt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
carla fernández | comercializadora de diseño flora sapi de cv,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carolina herrera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
caroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
carrefour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
castelijn & beerens bv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cato fashions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
celine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
celio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
cha dô teehandels gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
champion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
chanel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0
chenfeng group co.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chico's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
chicobag company,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chilote shoes,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china),0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chloe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
chloé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
"chopwood, llc",80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chotanagpurgruppe –faire handelsgesellschaft mbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
circular systems spc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citizen wolf pty ltd,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claire's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
clarks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
clarks international limited,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clic!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clover group international ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
coats group plc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cofreet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coingasa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cole haan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0
collections international,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
colosseum,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
columbia sportswear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
columbia sportswear company,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
comfortrust.ch ag,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
commerce équitable france (cef),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
company name,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contemporary-craft,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
converse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
coocazoo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coop danmark a/s,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
coordinadora estatal de comercio justo (cecj),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cortefiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
costco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
cotopaxi,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
