firstname,company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
blundstone,blundstone australia pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bombas,bombas,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonaveri,bonaveri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bondi,bondi born,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonprix,bonprix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
boohoo,boohoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
bordechi,bordechi,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bosideng,bosideng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
bottega,bottega veneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
bouga,bouga cacao,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bps,bps overseas (p) ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
braloba,braloba group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
brand,brand collective australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
british,british association of fair trade shops (bafts),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bronx,bronx fashion b.v,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
brooks,brooks brothers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0
brown,brown thomas arnotts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
brunello,brunello cucinelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
buckle,buckle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
burberry,burberry,0.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0,1.0
burlington,burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
burton,burton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
by,by malene birger a/s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
c&a,c&a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0
caleres,caleres,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
calvin,calvin klein,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0
calzedonia,calzedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
camelbak,camelbak,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
camper,camper (biniaraix manufacturing s.l.),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
canada,canada goose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
capranea,capranea sports ag,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capri,capri holdings limited,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
carhartt,carhartt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
carla,carla fernández | comercializadora de diseño flora sapi de cv,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carolina,carolina herrera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
caroll,caroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
carrefour,carrefour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
castelijn,castelijn & beerens bv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cato,cato fashions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
celine,celine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
celio,celio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
cha,cha dô teehandels gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
champion,champion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
chanel,chanel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0
chenfeng,chenfeng group co.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chico's,chico's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
chicobag,chicobag company,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chilote,chilote shoes,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china),china),0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chloe,chloe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
chloé,chloé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
"chopwood,","chopwood, llc",80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chotanagpurgruppe,chotanagpurgruppe –faire handelsgesellschaft mbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
circular,circular systems spc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citizen,citizen wolf pty ltd,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claire's,claire's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
clarks,clarks,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0
clic!,clic!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clover,clover group international ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coach,coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
coats,coats group plc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cofreet,cofreet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coingasa,coingasa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cole,cole haan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0
collections,collections international,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
colosseum,colosseum,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
columbia,columbia sportswear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0
