company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
champion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2
chanel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1
chenfeng group co.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
chico's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0
chicobag company,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
chilote shoes,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
china),0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
chloe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
chloé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0
"chopwood, llc",80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
chotanagpurgruppe –faire handelsgesellschaft mbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
circular systems spc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
citizen wolf pty ltd,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
claire's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
clarks,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,2
clic!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
clover group international ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
coats group plc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
cofreet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
coingasa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
cole haan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0
collections international,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
colosseum,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
columbia sportswear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,1
comfortrust.ch ag,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
