company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
SLN Tekstil ve Moda San. Tic. A.Ş  ,,1.0,,,,,,,
Stella McCartney ,,1.0,,,,,,,
Sympatex Technologies GmbH ,,1.0,,,,,,,
Target Corporation ,,1.0,,,,,,,
Tropic Knits Ltd ,,1.0,,,,,,,
Evea Eco Fashion ,,1.0,,,,,,,
LIMY Inc dba Reformation ,,1.0,,,,,,,
DBL Group ,,1.0,,,,,,,
Worn Again ,,1.0,,,,,,,
BerBrand Srl ,,1.0,,,,,,,
Denim Expert  Limited ,,1.0,,,,,,,
Textil Santanderina,,1.0,,,,,,,
S.A. ,,1.0,,,,,,,
S.A. ,,1.0,,,,,,,
COFREET ,,1.0,,,,,,,
VF Corporation ,,1.0,,,,,,,
GANNI ,,1.0,,,,,,,
GANT AB ,,1.0,,,,,,,
Regatta Group ,,1.0,,,,,,,
New Balance Athletics,,1.0,,,,,,,
TINTEX Textiles,,1.0,,,,,,,
Vivida Lifestyle Ltd ,,1.0,,,,,,,
NIKE,,1.0,,,,,,,1.0
Inc ,,1.0,,,,,,,
The RealReal ,,1.0,,,,,,,
Fenix Outdoor International AG ,,1.0,,,,,,,
Pattern SpA. ,,1.0,,,,,,,
DECATHLON ,,1.0,,,,,,,
Circular Systems SPC ,,1.0,,,,,,,
Loomstate ,,1.0,,,,,,,
G-Star RAW C.V. ,,1.0,,,,,,,
Hansoll Textile Ltd. ,,1.0,,,,,,,
KiK Textilien und Non-Food GmbH  ,,1.0,,,,,,,
John Smedley Ltd ,,1.0,,,,,,,
Anko ,,1.0,,,,,,,
Target Australia ,,1.0,,,,,,,
Kmart Australia Limited ,,1.0,,,,,,,
ASICS Corporation ,,1.0,,,,,,,
El Corte Inglés,,1.0,,,,,,28.0,
SA. ,,1.0,,,,,,,
Farfetch ,,1.0,,,,,,,
Lever Style Inc.  ,,1.0,,,,,,,
Hop Lun ,,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
CAPRANEA SPORTS AG  ,,1.0,,,,,,,
Hong Kong Non-Woven Fabric Ind. Co. Ltd.  ,,1.0,,,,,,,
American & Efird ,,1.0,,,,,,,
Clover Group International Ltd ,,1.0,,,,,,,
Hanbo Enterprises Ltd. ,,1.0,,,,,,,
Pinneco Research Ltd. ,,1.0,,,,,,,
TAL Apparel Ltd. ,,1.0,,,,,,,
K-Boxing  ,,1.0,,,,,,,
Chenfeng Group Co.,,1.0,,,,,,,
Ltd ,,1.0,,,,,,,
The Schneider Group ,,1.0,,,,,,,
RT Knits Ltd  ,,1.0,,,,,,,
The Renewal Workshop ,,1.0,,,,,,,
ALDO Group  ,,1.0,,,,,,,
Lojas Renner ,,1.0,,,,,,,
Ralph Lauren ,,1.0,,,,,,,
Mulberry ,,1.0,,,,,,,
Shokay ,,1.0,,,,,,,
Groupe Rossignol ,,1.0,,,,,,,
Elevate Textiles ,,1.0,,,,,,,
Craghoppers Ltd ,,1.0,,,,,,,
Reserva ,,1.0,,,,,,,
American Eagle Outfitters ,,1.0,,,,,,,
CHANEL ,,1.0,,,,,,,
Fast Retailing  ,,1.0,,,,,,,
Fossil Group  ,,1.0,,,,,,,
LT.BO srl ,,1.0,,,,,,,
YKK Corporation  ,,1.0,,,,,,,
Tendam Global Fashion Retail  ,,1.0,,,,,,,
Workout Empire ,,1.0,,,,,,,
SunRise Group ,,1.0,,,,,,,
Tchibo GmbH ,,1.0,,,,,,,
Tom Tailor Group ,,1.0,,,,,,,
Sateri ,,1.0,,,,,,,
Asia Pacific Rayon ,,1.0,,,,,,,
Lululemon ,,1.0,,,,,,,
R-Collective ,,1.0,,,,,,,
Aigle ,,1.0,,,,,,,
Dai Wear ,,1.0,,,,,,,
Artistic Milliners ,,1.0,,,,,,,
adidas,,,1.0,,,1.0,,,
amer-sports,,,1.0,,,,,,
antigua-group-inc,,,1.0,,,,,,
arena-group,,,1.0,,,,,,
barnes-noble-college-booksellers,,,1.0,,,,,,
bella-canvas,,,1.0,,,,,,
burton,,,1.0,,,,,,
colosseum,,,1.0,,,,,,
cutter-buck-inc,,,1.0,,,,,,
fall-rush,,,1.0,,,,,,
fanatics,,,1.0,,,,,,
fast-retailing,,,1.0,,,,,,
fenix-outdoor,,,1.0,,,,,,
fgv-holdings,,,1.0,,,,,,
follett-higher-education-group,,,1.0,,,,,,
forty-seven-brand,,,1.0,,,,,,
fruit-loom,,,1.0,,,,,,
gildan-activewear-inc,,,1.0,,,,,,
gore-wear,,,1.0,,,,,,
gore-wear,,,1.0,,,,,,
gymshark,,,1.0,,,,,,
hanesbrands,,,1.0,,,,,,
hugo-boss,,,1.0,,,,,,
hybrid-apparel,,,1.0,,,,,,
j-america-inc,,,1.0,,,,,,
kathmandu,,,1.0,,,,,,
l2-brands,,,1.0,,,,,,
lakeshirts-inc,,,1.0,,,,,,
lululemon,,,1.0,,,,1.0,,
mountain-equipment-co-op,,,1.0,,,,,,
mv-sport-game-inc,,,1.0,,,,,,
nestle,,,1.0,,,,,,
new-balance-athletics-inc,,,1.0,,,,,,
new-era-cap-co-inc,,,1.0,,,,,,
nike-inc,,,1.0,,,,,,
olam,,,1.0,,,,,,
outerknown,,,1.0,,,,,,
outerstuff-ltd,,,1.0,,,,,,
patagonia,,,1.0,,,,,,
popsockets,,,1.0,,,,,,
prana,,,1.0,,,,,,
puma-se,,,1.0,,,,,,
sanmar-corporation,,,1.0,,,,,,
sitka-group,,,1.0,,,,,,
syngenta,,,1.0,,,,,,
soliver-group,,,1.0,,,,,,
toms-shoes,,,1.0,,,,,,
top-world-llc,,,1.0,,,,,,
under-armour,,,1.0,,,,,,
volcom-llc,,,1.0,,,,,,
zephyr-graf-x,,,1.0,,,,,,
AlchemiA,,,,1.0,,,,,
Altromercato Impresa Sociale Soc. Coop.,,,,1.0,,,,,
Amandla,,,,1.0,,,,,
Au-delà des Frontières,,,,1.0,,,,,
BHcrafts doo,,,,1.0,,,,,
Bouga CacaO,,,,1.0,,,,,
Cha Dô Teehandels GmbH,,,,1.0,,,,,
Chotanagpurgruppe –Faire Handelsgesellschaft mbh,,,,1.0,,,,,
CTM Agrofair Italy,,,,1.0,,,,,
Dardenne ,,,,1.0,,,,,
Ecoffins,,,,1.0,,,,,
egos Copenhagen,,,,1.0,,,,,
Elecosy bvba,,,,1.0,,,,,
ElPuente,,,,1.0,,,,,
El Tucan,,,,1.0,,,,,
Elvang Denmark A/S,,,,1.0,,,,,
Én Gry & Sif,,,,1.0,,,,,
Esperanza Café,,,,1.0,,,,,
EZA Fairer Handel GmbH,,,,1.0,,,,,
Fairforward,,,,1.0,,,,,
FairMail Cards,,,,1.0,,,,,
Fair Monkey ekonomisk förening,,,,1.0,,,,,
Fair Trade Scotland Limited,,,,1.0,,,,,
Fundación COPADE España,,,,1.0,,,,,
Gebana,,,,1.0,,,,,
GEPA Fair Trade Company,,,,1.0,,,,,
GLOBO Fair Trade Partner GmbH,,,,1.0,,,,,
Greater Goods Limited,,,,1.0,,,,,
Initiativas de Economia Alternativa y Solidaria (IDEAS),,,,1.0,,,,,
Island Spirit,,,,1.0,,,,,
Just Trading Scotland,,,,1.0,,,,,
Karethic(Terrethic),,,,1.0,,,,,
Les Jardins de Gaïa,,,,1.0,,,,,
Les Mouettes Vertes,,,,1.0,,,,,
Malongo,,,,1.0,,,,,
Mifuko,,,,1.0,,,,,
Ojoba Collective,,,,1.0,,,,,
OxfamIntermón,,,,1.0,,,,,
Oxfam-Magasins du Monde,,,,1.0,,,,,
Paigh,,,,1.0,,,,,
People Tree,,,,1.0,,,,,
The Polish Fair Trade Association,,,,1.0,,,,,
Re-Wrap Association,,,,1.0,,,,,
SackeusAB,,,,1.0,,,,,
Sarana,,,,1.0,,,,,
S.C Networks Trading Srl,,,,1.0,,,,,
See Me,,,,1.0,,,,,
Seepje,,,,1.0,,,,,
Shared Earth,,,,1.0,,,,,
Simbólica,,,,1.0,,,,,
Fair Trade,,,,1.0,,,,,
Solidar’Monde,,,,1.0,,,,,
Tahoua Import,,,,1.0,,,,,
Tampereen Kehitysmaakauppa,,,,1.0,,,,,
Textielwerkplaats Sari V.O.F.,,,,1.0,,,,,
The Fair Trade Furniture,,,,1.0,,,,,
The House of Fair Trade,,,,1.0,,,,,
Traidcraft PLC,,,,1.0,,,,,
Tropical Mountains,,,,1.0,,,,,
U-landsforeningen Svalerne,,,,1.0,,,,,
Weltpartner eG,,,,1.0,,,,,
Zotter Schokoladen Manufaktur,,,,1.0,,,,,
Alice Cooperativa Sociale,,,,1.0,,,,,
Artisan Life,,,,1.0,,,,,
Esgii,,,,1.0,,,,,
FAIR,,,,1.0,,,,,
Fair Moms,,,,1.0,,,,,
Fair-NETZ (Netzwerk regionaler Fair-Handelszentren e.V),,,,1.0,,,,,
Fundacion Adsis – EquiM,,,,1.0,,,,,
ercado,,,,1.0,,,,,
Fundación Isabel Martín,,,,1.0,,,,,
Heidelberger Partnerschaftskaffee,,,,1.0,,,,,
Kanika,,,,1.0,,,,,
Mayamiko,,,,1.0,,,,,
Mekhada,,,,1.0,,,,,
Mitka,,,,1.0,,,,,
Nepalaya,,,,1.0,,,,,
Nyuzi BlackWhite,,,,1.0,,,,,
Öko,,,,1.0,,,,,
topia Handels,,,,1.0,,,,,
Oxfam Wereldwinkels,,,,1.0,,,,,
Secret Pillow Project Ltd,,,,1.0,,,,,
Siyabonga,,,,1.0,,,,,
Sjaal met Verhaal,,,,1.0,,,,,
Syn Allois,,,,1.0,,,,,
Szczypta Świata,,,,1.0,,,,,
Tatico,,,,1.0,,,,,
Zimba Arts,,,,1.0,,,,,
ARGE Weltläden,,,,1.0,,,,,
Associazione Botteghe del Mondo,,,,1.0,,,,,
British Association of Fair Trade Shops (BAFTS),,,,1.0,,,,,
Belgian Fair Trade Federation,,,,1.0,,,,,
Commerce Équitable France (CEF),,,,1.0,,,,,
Coordinadora Estatal de Comercio Justo (CECJ),,,,1.0,,,,,
Equo Garantito,,,,1.0,,,,,
European Fair Trade Association (EFTA),,,,1.0,,,,,
Fair-Band,,,,1.0,,,,,
Fairtrade Czech Republic and Slovakia,,,,1.0,,,,,
Fair Trade Danmark,,,,1.0,,,,,
Fédération Artisans du Monde,,,,1.0,,,,,
The Finnish Association of Worldshops,,,,1.0,,,,,
Forum Fairer Handel e.V.,,,,1.0,,,,,
Scottish Fair Trade Forum,,,,1.0,,,,,
Shared Interest Society Limited,,,,1.0,,,,,
The Organisation of Swedish Fair Trade Retailers,,,,1.0,,,,,
Traidcraft Exchange,,,,1.0,,,,,
Weltladen-Dachverband e.V.,,,,1.0,,,,,
Fair Trade Advocacy Office,,,,1.0,,,,,
International Federation of Organic Agriculture Movements (IFOAM),,,,1.0,,,,,
IMPI Sandals,,,,1.0,,,,,
About You GmbH,,,,,1.0,,,,
Acne Studios,,,,,1.0,,,,
adidas-group,,,,,1.0,,,,
Ahlens AB,,,,,1.0,,,,
Air & Grace,,,,,1.0,,,,
